"Census Year";"Brazil";"Midwest";"North-Northeast";"South-Southeast"
1970;0.08;0.15;0.06;0.08
1980;0.13;0.11;0.21;0.09
1991;0;0;0;0
2000;0;0;0;0
2010;0;0;0;0
