"Census Year";"Brazil";"Midwest";"North-Northeast";"South-Southeast"
1970;0.21;0.16;0.48;0.08
1980;0.04;0;0.11;0.01
1991;0.02;0.01;0.06;0
2000;0.01;0;0.01;0
2010;0.01;0.01;0.01;0
